"Deck1","Deck2","Winner","JobId","LogFile"
"_WOE_PremierDraft___01___WG.dck","_WOE_PremierDraft___03___WG.dck","_WOE_PremierDraft___03___WG.dck","311","Job311__WOE_PremierDraft___01___WG.dck_vs__WOE_PremierDraft___03___WG.dck.log"
"_WOE_PremierDraft___01___WG.dck","_WOE_PremierDraft___02___WG.dck","_WOE_PremierDraft___01___WG.dck","305","Job305__WOE_PremierDraft___01___WG.dck_vs__WOE_PremierDraft___02___WG.dck.log"
"_WOE_PremierDraft___01___WG.dck","_WOE_PremierDraft___02___WG.dck","_WOE_PremierDraft___01___WG.dck","307","Job307__WOE_PremierDraft___01___WG.dck_vs__WOE_PremierDraft___02___WG.dck.log"
"_WOE_PremierDraft___01___WG.dck","_WOE_PremierDraft___03___WG.dck","_WOE_PremierDraft___03___WG.dck","309","Job309__WOE_PremierDraft___01___WG.dck_vs__WOE_PremierDraft___03___WG.dck.log"
"_WOE_PremierDraft___01___WG.dck","_WOE_PremierDraft___04___WG.dck","_WOE_PremierDraft___01___WG.dck","315","Job315__WOE_PremierDraft___01___WG.dck_vs__WOE_PremierDraft___04___WG.dck.log"
"_WOE_PremierDraft___02___WG.dck","_WOE_PremierDraft___03___WG.dck","_WOE_PremierDraft___03___WG.dck","317","Job317__WOE_PremierDraft___02___WG.dck_vs__WOE_PremierDraft___03___WG.dck.log"
"_WOE_PremierDraft___01___WG.dck","_WOE_PremierDraft___04___WG.dck","_WOE_PremierDraft___01___WG.dck","313","Job313__WOE_PremierDraft___01___WG.dck_vs__WOE_PremierDraft___04___WG.dck.log"
"_WOE_PremierDraft___02___WG.dck","_WOE_PremierDraft___03___WG.dck","_WOE_PremierDraft___02___WG.dck","319","Job319__WOE_PremierDraft___02___WG.dck_vs__WOE_PremierDraft___03___WG.dck.log"
"_WOE_PremierDraft___02___WG.dck","_WOE_PremierDraft___04___WG.dck","_WOE_PremierDraft___04___WG.dck","323","Job323__WOE_PremierDraft___02___WG.dck_vs__WOE_PremierDraft___04___WG.dck.log"
"_WOE_PremierDraft___02___WG.dck","_WOE_PremierDraft___04___WG.dck","_WOE_PremierDraft___02___WG.dck","321","Job321__WOE_PremierDraft___02___WG.dck_vs__WOE_PremierDraft___04___WG.dck.log"
"_WOE_PremierDraft___03___WG.dck","_WOE_PremierDraft___04___WG.dck","_WOE_PremierDraft___04___WG.dck","327","Job327__WOE_PremierDraft___03___WG.dck_vs__WOE_PremierDraft___04___WG.dck.log"
"_WOE_PremierDraft___03___WG.dck","_WOE_PremierDraft___04___WG.dck","_WOE_PremierDraft___04___WG.dck","325","Job325__WOE_PremierDraft___03___WG.dck_vs__WOE_PremierDraft___04___WG.dck.log"
